other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy
693.408,219.971,,-2.756,-20.055,295.34,,930.99,4.601,,2.429
8.692,3.009,,,,,,,,,0.07
12.157,4.101,,36.291,3.466,,,,,,0.095
13.404,4.489,,9.461,1.247,,,,,,0.102
14.996,4.997,,11.317,1.592,,,,,,0.107
16.33,5.423,,8.523,1.334,,,,,,0.108
21.752,7.118,,31.265,5.423,,,,,,0.136
22.136,7.232,,1.595,0.384,,,,,,0.134
21.813,7.123,,-1.511,-0.323,,,,,,0.126
23.575,7.663,,7.592,1.762,,,,,,0.129
24.783,8.042,,4.941,1.208,,,,,,0.138
26.313,8.521,,5.955,1.53,,,,,,0.148
26.186,8.486,,-0.415,-0.127,,,,,,0.139
27.455,8.88,,4.651,1.269,,,,,,0.143
29.027,9.372,,5.539,1.572,,,,,,0.146
30.262,9.763,,4.17,1.236,,,,,,0.147
33.323,10.741,,10.017,3.061,,,,,,0.166
33.339,10.754,,0.117,0.015,,,,,,0.17
30.372,9.836,,-8.531,-2.967,,,,,,0.158
31.335,10.137,,3.055,0.963,,,,,,0.161
32.474,10.511,,3.689,1.14,,,,,,0.163
35.787,11.529,,9.687,3.313,,,,0.4,,0.15
38.969,12.543,,8.796,3.182,,,,0.426,,0.161
38.501,12.425,,-0.937,-0.468,,,,0.408,,0.156
41.028,13.23,,6.477,2.527,,,,0.423,,0.164
42.41,13.672,,3.342,1.382,,,,0.428,,0.17
59.264,18.964,,38.703,16.854,,,,0.59,,0.236
61.312,19.599,,3.352,2.048,,,,0.607,,0.247
64.79,20.714,,5.689,3.478,,,,0.649,,0.269
71.516,22.848,,10.3,6.726,,,,0.72,,0.302
75.467,24.062,,5.313,3.952,,,,0.754,,0.326
83.363,26.543,,10.309,7.895,,,,0.81,,0.353
83.809,26.725,,0.689,0.447,,,,0.797,,0.346
99.589,31.688,,18.568,15.78,,,,0.935,,0.413
111.81,35.583,,12.291,12.221,,,,1.026,,0.46
117.551,37.458,,5.27,5.741,,,,1.067,,0.486
129.013,41.102,,9.729,11.462,,,,1.136,,0.527
141.423,45.022,,9.537,12.411,,,,1.222,,0.572
160.581,51.076,,13.447,19.158,,,,1.373,,0.652
182.881,58.178,,13.905,22.3,,,,1.527,,0.729
217.771,69.169,,18.892,34.891,,,,1.776,,0.855
249.467,79.144,,14.422,31.696,,,,1.999,,0.975
282.151,89.593,,13.203,32.683,,,,2.232,,1.094
313.948,99.775,,11.364,31.797,,,,2.455,,1.228
346.699,110.15,,10.398,32.751,,,,2.695,,1.362
380.016,120.736,,9.61,33.317,,,,3.1,,1.586
431.908,137.079,,13.536,51.892,,,,3.373,,1.736
460.798,146.277,,6.71,28.889,,,,3.638,,1.896
512.415,162.607,,11.164,51.618,,,,4.012,,2.112
544.364,172.796,,6.266,31.949,,,,4.297,,2.265
580.618,184.452,,6.745,36.254,,,,4.684,,2.51
621.425,197.517,,7.083,40.807,,,,4.961,,2.66
636.205,202.527,,2.536,14.781,,,,5.036,,2.688
657.662,209.599,,3.492,21.456,,,,5.16,,2.748
680.69,217.324,,3.686,23.028,,,,5.345,,2.843
708.268,226.353,,4.155,27.578,,,,5.666,,3.002
728.446,232.948,,2.914,20.178,,,,6.003,,3.309
762.234,243.697,,4.614,33.788,,,,6.027,,3.307
747.451,239.165,,-1.86,-14.783,,,,6.131,,3.372
,41.44,6.75,,,,,,0.936,0.152,
,43.83,6.72,,,,,,0.973,0.149,
,49.5,6.94,,,,,,1.09,0.153,
,57.89,7.74,,,,,,1.244,0.166,
,69.09,7.96,,,,,,1.452,0.167,
,79.08,8.03,,,,,,1.637,0.166,
,89.51,9.26,,,,,,1.814,0.188,
,99.62,10.47,,,,,,1.991,0.209,
,110.01,10.87,,,,,,2.177,0.215,
,120.68,11.44,,,,,,2.508,0.238,
,136.81,11.49,,,,,,2.719,0.228,
,145.95,12.1,,,,,,2.913,0.241,
,162.1,12.74,,,,,,3.209,0.252,
,172.85,13.48,,,,,,3.45,0.269,
,184.01,14.85,,,,,,3.728,0.301,
,196.21,15.97,,,,,,3.942,0.321,
,201.53,17.57,,,,,,3.998,0.349,
,207.78,18.74,,,,,,4.089,0.369,
,215.35,20.76,,,,,,4.222,0.407,
,224.61,22.4,,,,,,4.443,0.443,
,231.09,23.53,,,,,,4.698,0.478,
,241.28,23.94,,,,,,4.681,0.464,
,235.69,24.06,,,,,,4.689,0.479,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
8.372,2.909,,,,7.845,,22.578,,,0.089
11.768,3.979,,36.782,3.395,10.647,,31.488,,,0.121
12.852,4.316,,8.469,1.084,11.461,,34.128,,,0.128
14.425,4.818,,11.631,1.573,12.705,,38.037,,,0.134
15.756,5.243,,8.821,1.332,13.738,,41.284,,,0.135
21.188,6.94,,32.372,5.432,18.078,,55.19,,,0.169
21.585,7.058,,1.694,0.397,18.27,,55.875,,,0.167
21.193,6.926,,-1.869,-0.392,17.808,,54.491,,,0.155
22.877,7.442,,7.454,1.684,19.012,,58.443,,,0.159
24.106,7.829,,5.202,1.229,19.876,,61.198,,,0.169
25.559,8.283,,5.79,1.453,20.905,,64.512,,,0.18
25.618,8.306,,0.278,0.059,20.853,,64.321,,,0.17
26.713,8.646,,4.101,1.095,21.599,,66.732,,,0.174
28.225,9.119,,5.467,1.511,22.676,,70.186,,,0.177
28.754,9.285,,1.826,0.529,22.991,,71.197,,,0.174
32.21,10.387,,11.868,3.456,25.608,,79.408,,,0.198
31.247,10.084,,-2.916,-0.964,24.762,,76.726,,,0.198
28.676,9.287,,-7.906,-2.571,22.728,,70.176,,,0.186
29.583,9.569,,3.034,0.908,23.347,,72.179,,,0.191
30.742,9.946,,3.943,1.159,24.197,,74.789,,,0.193
34.103,10.982,,10.409,3.361,26.639,,82.726,0.543,,0.203
36.698,11.803,,7.48,2.595,28.549,,88.765,0.569,,0.216
35.974,11.601,,-1.708,-0.723,27.976,,86.752,0.54,,0.207
38.413,12.376,,6.679,2.439,29.753,,92.348,0.563,,0.219
39.72,12.794,,3.378,1.307,30.663,,95.195,0.569,,0.226
54.254,17.354,,35.64,14.533,41.464,,129.628,0.763,,0.31
55.946,17.88,,3.03,1.692,42.592,,133.269,0.772,,0.321
58.532,18.721,,4.704,2.587,44.465,,139.024,0.813,,0.343
64.224,20.527,,9.646,5.691,48.627,,152.143,0.891,,0.379
66.879,21.334,,3.932,2.655,50.426,,158.079,0.912,,0.396
73.593,23.441,,9.874,6.715,55.308,,173.645,0.973,,0.425
73.301,23.386,,-0.232,-0.292,55.103,,172.716,0.938,,0.411
87.707,27.915,,19.366,14.406,65.688,,206.389,1.113,,0.494
97.364,30.975,,10.962,9.657,72.804,,228.843,1.209,,0.542
99.424,31.644,,2.159,2.06,74.294,,233.428,1.223,,0.557
108.607,35.4,5.29,9.197,9.183,82.975,12.399,254.567,1.347,0.201,0.603
118.395,36.99,5.09,8.895,9.788,86.542,11.909,276.996,1.368,0.188,0.645
135.912,42.05,5.25,14.703,17.517,98.161,12.256,317.272,1.545,0.193,0.745
154.703,49.08,5.92,13.901,18.791,114.219,13.777,360.027,1.751,0.211,0.832
185.334,58.75,5.99,19.605,30.63,136.257,13.892,429.839,2.048,0.209,0.983
211.085,66.87,5.87,13.742,25.751,154.567,13.568,487.915,2.32,0.204,1.119
239.955,75.94,6.08,13.614,28.87,174.959,14.008,552.835,2.587,0.207,1.263
267.697,84.67,6.24,11.508,27.741,194.307,14.32,614.331,2.869,0.211,1.426
297.967,94.29,6.2,11.22,30.27,215.518,14.171,681.062,3.18,0.209,1.593
326.423,103.23,5.99,9.46,28.457,235.23,13.649,743.82,3.669,0.213,1.856
372.131,117.56,6.09,13.918,45.707,267.248,13.844,845.96,3.985,0.206,2.033
396.864,125.4,6.42,6.659,24.733,284.487,14.565,900.342,4.307,0.221,2.235
440.913,139.15,6.28,11.017,44.049,315.189,14.225,998.711,4.788,0.216,2.509
459.561,145.57,6.44,4.242,18.649,329.42,14.573,1039.971,5.041,0.223,2.636
478.436,151.04,6.79,4.133,18.874,341.505,15.352,1081.754,5.341,0.24,2.843
495.637,156.47,7.09,3.626,17.201,353.442,16.015,1119.569,5.446,0.247,2.906
500.228,158.32,7.23,0.954,4.591,357.236,16.314,1128.724,5.469,0.25,2.902
509.572,160.87,7.23,1.866,9.344,362.526,16.293,1148.34,5.497,0.247,2.914
515.274,162.64,7.14,1.122,5.701,366.023,16.069,1159.63,5.586,0.245,2.95
527.401,166.88,7.23,2.355,12.127,374.988,16.246,1185.098,5.801,0.251,3.069
533.731,169.83,7.23,1.2,6.33,381.392,16.237,1198.613,6.161,0.262,3.356
557.538,176.37,7.03,4.417,23.807,396.291,15.796,1252.75,6.124,0.244,3.33
551.047,173.996,,-1.156,-6.49,388.979,,1231.898,6.188,,3.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.03,0.0,,,36.035,0.0,,4.839,0.0,
,0.04,0.0,,,47.544,0.0,,5.97,0.0,
,0.05,0.0,,,58.831,0.0,,7.042,0.0,
,0.07,0.0,,,81.556,0.0,,9.722,0.0,
,0.07,0.0,,,80.766,0.0,,9.333,0.0,
,0.08,0.0,,,91.436,0.0,,10.127,0.0,
,0.11,0.0,,,124.562,0.0,,13.095,0.0,
,0.08,0.0,,,89.822,0.0,,9.195,0.0,
,0.1,0.0,,,111.517,0.0,,11.364,0.0,
,0.1,0.0,,,110.94,0.0,,11.628,0.0,
,0.13,0.0,,,143.618,0.0,,14.444,0.0,
,0.11,0.0,,,121.097,0.0,,12.791,0.0,
,0.09,0.0,,,98.785,0.0,,10.465,0.0,
,0.09,0.0,,,98.526,0.0,,10.227,0.0,
,0.13,0.0,,,141.987,0.0,,14.286,0.0,
,0.12,0.0,,,130.832,0.0,,12.5,0.0,
,0.1,0.0,,,108.888,0.0,,10.417,0.0,
,0.14,0.0,,,152.336,0.0,,13.333,0.0,
,0.14,0.0,,,152.339,0.0,,12.844,0.0,
,0.13,0.0,,,141.539,0.0,,11.504,0.0,
,0.12,0.0,,,130.374,0.0,,10.909,0.0,
,0.15,0.0,,,162.23,0.0,,13.158,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
16.459,5.16,0.0,,,1034.783,0.0,3300.679,9.487,0.0,5.092
15.958,5.0,0.0,-3.045,-0.501,997.236,0.0,3182.746,8.624,0.0,4.825
15.801,4.95,0.0,-0.98,-0.156,981.73,0.0,3133.883,8.574,0.0,4.793
19.019,5.96,0.0,20.364,3.218,1176.329,0.0,3753.823,9.758,0.0,5.72
20.638,6.47,0.0,8.51,1.618,1271.497,0.0,4055.741,9.857,0.0,5.912
21.094,6.61,0.0,2.212,0.456,1294.063,0.0,4129.664,10.322,0.0,6.34
18.799,5.89,0.0,-10.881,-2.295,1149.332,0.0,3668.279,8.489,0.0,5.41
25.19,7.89,0.0,33.996,6.391,1535.036,0.0,4900.77,11.408,0.0,7.148
29.793,9.33,0.0,18.274,4.603,1810.403,0.0,5781.035,13.3,0.0,8.179
26.696,8.36,0.0,-10.393,-3.096,1618.43,0.0,5168.213,12.036,0.0,7.475
27.578,8.64,0.0,3.301,0.881,1669.176,0.0,5327.749,12.38,0.0,7.679
26.405,8.27,0.0,-4.25,-1.172,1594.061,0.0,5089.708,11.132,0.0,7.197
28.694,8.99,0.0,8.668,2.289,1728.651,0.0,5517.478,12.03,0.0,7.781
29.941,9.38,0.0,4.344,1.246,1799.351,0.0,5743.458,11.156,0.0,7.581
33.325,10.44,0.0,11.304,3.385,1996.885,0.0,6374.194,12.196,0.0,8.474
30.365,9.51,0.0,-8.883,-2.96,1812.786,0.0,5788.13,13.522,0.0,8.493
34.52,10.81,0.0,13.685,4.155,2052.695,0.0,6555.008,13.175,0.0,9.001
31.778,9.95,0.0,-7.944,-2.742,1881.372,0.0,6008.667,12.296,0.0,8.315
33.214,10.4,0.0,4.518,1.436,1957.331,0.0,6250.987,13.51,0.0,9.013
27.881,8.73,0.0,-16.057,-5.333,1635.195,0.0,5222.257,12.162,0.0,8.169
35.032,10.97,0.0,25.65,7.151,2045.391,0.0,6531.812,13.654,0.0,9.435
35.896,11.24,0.0,2.466,0.864,2086.05,0.0,6661.962,15.353,0.0,10.258
35.753,11.2,0.0,-0.399,-0.143,2068.762,0.0,6603.903,15.979,0.0,10.501
38.341,12.01,0.0,7.241,2.589,2208.178,0.0,7049.497,16.92,0.0,11.217
37.536,11.76,0.0,-2.1,-0.805,2153.28,0.0,6872.92,17.343,0.0,11.381
36.453,11.42,0.0,-2.885,-1.083,2084.148,0.0,6652.651,16.706,0.0,11.084
36.783,11.52,0.0,0.905,0.33,2096.369,0.0,6693.619,16.822,0.0,11.01
37.864,11.86,0.0,2.94,1.082,2153.175,0.0,6874.264,17.667,0.0,11.572
41.212,12.91,0.0,8.841,3.348,2340.691,0.0,7472.094,18.448,0.0,12.345
42.431,13.29,0.0,2.958,1.219,2406.938,0.0,7684.626,19.436,0.0,12.977
36.933,11.57,0.0,-12.957,-5.498,2092.426,0.0,6679.364,16.758,0.0,11.793
43.347,13.58,0.0,17.366,6.414,2453.043,0.0,7830.109,18.895,0.0,13.555
44.666,13.93,0.0,3.041,1.318,2514.102,0.0,8061.314,19.085,0.0,13.671
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.0,0.0,,,,0.0,,0.0,,,0.0
1.245,0.39,,,1.245,8.011,,25.573,,,0.093
1.931,0.605,,55.128,0.686,12.301,,39.269,,,0.135
2.956,0.926,,53.058,1.025,18.652,,59.54,,,0.196
3.406,1.067,,15.227,0.45,21.303,,68.003,,,0.205
4.374,1.37,,28.42,0.968,27.121,,86.575,,,0.243
4.443,1.392,,1.575,0.069,27.306,,87.167,,,0.237
4.837,1.515,,8.864,0.394,29.473,,94.082,,,0.241
4.948,1.55,,2.303,0.111,29.916,,95.499,,,0.227
5.034,1.577,,1.74,0.086,30.233,,96.51,,,0.236
4.52,1.416,,-10.22,-0.515,26.995,,86.173,,,0.225
4.255,1.333,,-5.861,-0.265,25.299,,80.761,,,0.199
4.388,1.375,,3.127,0.133,25.972,,82.908,,,0.202
4.528,1.418,,3.187,0.14,26.674,,85.148,,,0.2
4.737,1.484,,4.627,0.209,27.775,,88.665,,,0.203
4.696,1.471,,-0.875,-0.041,27.386,,87.423,,,0.204
4.763,1.492,,1.436,0.067,27.624,,88.181,,,0.208
4.876,1.527,,2.358,0.112,28.118,,89.757,,,0.222
4.976,1.559,,2.053,0.1,28.552,,91.143,,,0.221
5.179,1.622,,4.08,0.203,29.579,,94.423,,,0.222
5.274,1.652,,1.84,0.095,29.98,,95.703,0.48,,0.219
5.308,1.663,,0.645,0.034,30.03,,95.861,0.458,,0.215
5.588,1.751,,5.28,0.28,31.462,,100.433,0.463,,0.222
5.661,1.773,,1.294,0.072,31.715,,101.242,0.452,,0.222
5.878,1.841,,3.846,0.218,32.784,,104.652,0.455,,0.228
6.107,1.91,0.5,3.886,0.228,33.858,8.863,108.25,0.458,0.12,0.23
6.71,2.11,0.52,9.88,0.603,37.249,9.18,118.457,0.467,0.115,0.238
6.812,2.14,0.52,1.522,0.102,37.634,9.145,119.797,0.465,0.113,0.239
6.301,1.97,0.49,-7.498,-0.511,34.529,8.588,110.447,0.419,0.104,0.221
6.886,2.16,0.5,9.271,0.584,37.742,8.737,120.314,0.455,0.105,0.245
7.435,2.33,0.51,7.974,0.549,40.578,8.882,129.477,0.474,0.104,0.258
7.735,2.42,0.49,4.036,0.3,41.997,8.504,134.229,0.475,0.096,0.259
8.539,2.67,0.51,10.4,0.804,46.162,8.818,147.636,0.533,0.102,0.29
8.469,2.65,0.52,-0.822,-0.07,45.626,8.953,145.814,0.522,0.103,0.281
9.107,2.85,0.51,7.539,0.638,48.841,8.74,156.076,0.547,0.098,0.297
9.532,2.99,0.51,4.662,0.425,50.967,8.693,162.479,0.56,0.096,0.307
10.643,3.33,0.48,11.654,1.111,56.427,8.134,180.341,0.613,0.088,0.338
11.291,3.53,0.49,6.089,0.648,59.455,8.253,190.168,0.639,0.089,0.363
11.865,3.72,0.49,5.089,0.575,62.282,8.204,198.657,0.664,0.088,0.377
12.073,3.78,0.47,1.749,0.207,62.886,7.819,200.852,0.666,0.083,0.381
12.36,3.87,0.48,2.38,0.287,63.956,7.933,204.267,0.679,0.084,0.392
12.261,3.84,0.46,-0.801,-0.099,63.034,7.551,201.271,0.676,0.081,0.392
13.458,4.22,0.47,9.763,1.197,68.809,7.664,219.443,0.751,0.084,0.438
14.161,4.44,0.47,5.218,0.702,71.937,7.615,229.429,0.783,0.083,0.459
14.614,4.58,0.45,3.201,0.453,73.76,7.247,235.354,0.865,0.085,0.502
15.696,4.92,0.48,7.405,1.082,78.79,7.687,251.36,0.874,0.085,0.524
17.616,5.58,0.54,12.231,1.92,88.888,8.602,280.617,0.983,0.095,0.611
18.378,5.81,0.51,4.327,0.762,92.118,8.086,291.386,1.025,0.09,0.638
19.463,6.18,0.5,5.901,1.084,97.576,7.895,307.294,1.072,0.087,0.669
